Comparações_AVL	Tamanho_AVL	Comparações_ABB	Tamanho_ABB
17	49622	18	49622
15	8701	20	8701
15	29420	17	29420
16	66340	19	66340
18	62758	20	62758
16	27271	20	27271
15	11764	23	11764
17	1860	8	1860
17	66330	24	66330
16	69378	32	69378
17	25324	21	25324
15	38709	27	38709
18	62075	18	62075
16	9126	23	9126
17	42635	23	42635
16	26577	27	26577
17	31164	16	31164
17	10681	27	10681
14	54904	28	54904
15	10549	21	10549
16	31474	20	31474
17	33852	16	33852
13	9714	17	9714
13	33643	17	33643
17	58301	25	58301
17	61885	28	61885
18	48228	18	48228
16	65847	23	65847
16	18421	23	18421
14	11707	21	11707
12	3473	14	3473
18	17479	18	17479
14	18160	13	18160
17	66230	25	66230
13	21101	16	21101
15	29923	19	29923
17	63470	19	63470
16	22960	18	22960
14	26252	13	26252
15	62847	17	62847
18	24636	27	24636
17	41312	21	41312
16	31273	15	31273
15	10113	19	10113
15	13946	13	13946
19	57850	20	57850
14	41276	15	41276
13	24626	17	24626
17	42753	23	42753
16	28177	26	28177
15	56099	26	56099
15	6605	13	6605
16	14242	16	14242
14	66094	17	66094
15	41257	20	41257
15	52478	23	52478
16	20673	15	20673
14	37103	18	37103
12	898	14	898
14	32379	20	32379
16	58923	22	58923
14	4371	18	4371
15	26209	16	26209
17	7082	19	7082
16	46952	17	46952
15	47310	30	47310
14	37004	29	37004
15	40421	30	40421
17	46621	24	46621
15	9620	19	9620
17	47608	24	47608
15	10918	21	10918
14	40892	27	40892
18	57721	16	57721
16	1215	17	1215
14	28741	21	28741
15	5348	17	5348
16	25840	21	25840
17	47846	21	47846
16	33524	16	33524
15	58291	17	58291
15	54450	20	54450
17	24117	21	24117
16	54384	20	54384
16	25706	14	25706
15	52946	25	52946
16	5056	20	5056
15	39161	16	39161
15	53844	19	53844
16	13786	22	13786
13	4435	16	4435
16	34566	27	34566
13	39995	28	39995
12	11516	18	11516
18	57869	22	57869
18	63656	24	63656
12	24871	11	24871
15	28290	16	28290
15	40276	10	40276
14	40829	17	40829
14	37909	19	37909
16	17884	20	17884
15	28098	15	28098
18	55152	25	55152
17	5604	11	5604
15	29312	18	29312
15	13893	15	13893
15	10951	21	10951
17	55151	14	55151
16	61738	23	61738
14	20827	19	20827
16	19793	12	19793
16	22539	15	22539
17	21295	19	21295
12	4176	24	4176
